timestamp,value
00:34:50.4,787
00:34:50.4,786
00:34:50.5,786
00:34:50.5,786
00:34:50.6,786
00:34:50.6,786
00:34:50.7,786
00:34:50.7,786
00:34:50.8,787
00:34:50.8,787
00:34:50.9,786
00:34:50.9,787
00:34:51.0,786
00:34:51.1,786
00:34:51.1,786
00:34:51.2,786
00:34:51.2,786
00:34:51.2,133
00:34:51.3,786
00:34:51.3,786
00:34:51.4,787
00:34:51.4,786
00:34:51.5,787
00:34:51.5,786
00:34:51.6,786
00:34:51.6,786
00:34:51.7,786
00:34:51.7,786
00:34:51.8,787
00:34:51.9,786
00:34:51.9,127
00:34:51.9,110
00:34:51.9,105
00:34:52.0,786
00:34:52.0,787
00:34:52.0,786
00:34:52.1,786
00:34:52.1,786
00:34:52.2,786
00:34:52.3,786
00:34:52.3,121
00:34:52.3,123
00:34:52.3,123
00:34:52.4,786
00:34:52.4,111
00:34:52.4,155
00:34:52.4,108
00:34:52.4,103
00:34:52.4,102
00:34:52.4,115
00:34:52.4,113
00:34:52.4,114
00:34:52.4,121
00:34:52.4,104
00:34:52.4,96
00:34:52.4,93
00:34:52.4,94
00:34:52.4,98
00:34:52.4,93
00:34:52.4,91
00:34:52.4,86
00:34:52.4,93
00:34:52.4,105
00:34:52.4,114
00:34:52.4,101
00:34:52.4,94
00:34:52.4,131
00:34:52.7,90
00:34:52.7,94
00:34:52.7,781
00:34:52.7,119
00:34:52.7,95
00:34:52.7,90
00:34:52.7,88
00:34:52.7,88
00:34:52.7,105
00:34:52.7,105
00:34:52.7,98
00:34:52.7,95
00:34:52.7,96
00:34:52.7,104
00:34:52.7,104
00:34:52.7,134
00:34:52.7,100
00:34:52.7,781
00:34:52.7,99
00:34:52.7,118
00:34:52.7,103
00:34:52.7,102
00:34:52.7,97
00:34:52.7,104
00:34:52.7,105
00:34:52.7,90
00:34:52.7,93
00:34:52.7,106
00:34:52.7,782
00:34:52.7,131
00:34:53.1,786
00:34:53.1,116
00:34:53.1,132
00:34:53.1,106
00:34:53.1,104
00:34:53.1,129
00:34:53.3,105
00:34:53.3,147
00:34:53.3,785
00:34:53.3,113
00:34:53.3,96
00:34:53.3,96
00:34:53.3,109
00:34:53.3,107
00:34:53.3,107
00:34:53.3,97
00:34:53.3,97
00:34:53.3,101
00:34:53.5,784
00:34:53.5,105
00:34:53.5,100
00:34:53.5,100
00:34:53.5,96
00:34:53.5,111
00:34:53.6,785
00:34:53.6,107
00:34:53.6,108
00:34:53.6,786
00:34:53.6,786
00:34:53.6,101
00:34:53.6,102
00:34:53.6,101
00:34:53.8,785
00:34:53.8,116
00:34:53.8,124
00:34:53.8,102
00:34:53.8,131
00:34:53.9,132
00:34:53.9,92
00:34:53.9,90
00:34:53.9,111
00:34:53.9,103
00:34:53.9,93
00:34:53.9,92
00:34:53.9,94
00:34:53.9,115
00:34:53.9,105
00:34:54.0,782
00:34:54.0,786
00:34:54.0,132
00:34:54.0,104
00:34:54.1,786
00:34:54.1,151
00:34:54.1,125
00:34:54.2,786
00:34:54.2,89
00:34:54.2,96
00:34:54.2,96
00:34:54.2,100
00:34:54.2,102
00:34:54.2,119
00:34:54.2,99
00:34:54.2,97
00:34:54.2,141
00:34:54.4,784
00:34:54.4,126
00:34:54.4,97
00:34:54.4,105
00:34:54.4,786
00:34:54.4,108
00:34:54.4,111
00:34:54.4,136
00:34:54.5,117
00:34:54.5,127
00:34:54.5,124
00:34:54.6,785
00:34:54.6,786
00:34:54.7,787
00:34:54.7,786
00:34:54.8,786
00:34:54.8,786
00:34:54.9,786
00:34:54.9,786
00:34:55.0,786
00:34:55.0,786
00:34:55.1,786
00:34:55.2,787
00:34:55.2,787
00:34:55.2,787
00:34:55.2,786
00:34:55.4,786
00:34:55.4,786
00:34:55.5,786
00:34:55.5,786
00:34:55.6,786
00:34:55.6,786
00:34:55.7,786
00:34:55.7,786
00:34:55.8,786
00:34:55.8,786
00:34:55.9,786
00:34:55.9,786
00:34:56.0,786
00:34:56.0,786
00:34:56.1,786
00:34:56.1,786
00:34:56.2,786
00:34:56.2,786
00:34:56.3,786
00:34:56.3,786
00:34:56.4,786
00:34:56.5,786
00:34:56.5,786
00:34:56.6,786
00:34:56.6,786
00:34:56.7,787
00:34:56.7,786
00:34:56.8,786
00:34:56.8,786
00:34:56.9,786
