timestamp,value
11:45:56.8,0.23
11:45:56.8,529
11:45:56.8,0.93
11:45:56.8,529
11:45:56.8,0.14
11:45:56.8,529
11:45:56.8,1.26
11:45:56.8,529
11:45:56.8,0.68
11:45:56.9,529
11:45:56.9,2.02
11:45:56.9,529
11:45:56.9,2.13
11:45:56.9,530
11:45:56.9,2.44
11:45:56.9,529
11:45:56.9,0.95
11:45:56.9,529
11:45:56.9,0.46
11:45:56.9,529
11:45:56.9,2.03
11:45:56.9,530
11:45:56.9,0.92
11:45:56.9,529
11:45:56.9,0.76
11:45:56.9,529
11:45:56.9,1.15
11:45:56.9,529
11:45:56.9,1.01
11:45:56.9,529
11:45:56.9,1.56
11:45:56.9,529
11:45:56.9,2.01
11:45:56.9,528
11:45:56.9,2.3
11:45:56.9,528
11:45:56.9,1.06
11:45:56.9,529
11:45:57.0,0.57
11:45:57.0,523
11:45:57.0,2.13
11:45:57.0,526
11:45:57.0,2.01
11:45:57.0,528
11:45:57.1,1.26
11:45:57.1,529
11:45:57.1,2.74
11:45:57.1,529
11:45:57.1,2.85
11:45:57.1,529
11:45:57.1,2.17
11:45:57.1,530
11:45:57.1,1.81
11:45:57.1,529
11:45:57.1,1.31
11:45:57.1,529
11:45:57.1,2.58
11:45:57.1,529
11:45:57.1,1.02
11:45:57.1,529
11:45:57.1,1.25
11:45:57.1,530
11:45:57.1,1.71
11:45:57.1,529
11:45:57.1,1.4
11:45:57.1,528
11:45:57.1,1.31
11:45:57.1,529
11:45:57.1,2.05
11:45:57.1,529
11:45:57.1,2.07
11:45:57.1,529
11:45:57.1,2.03
11:45:57.1,529
11:45:57.1,0.96
11:45:57.1,529
11:45:57.1,0.5
11:45:57.1,529
11:45:57.1,0.42
11:45:57.1,529
11:45:57.1,1.08
11:45:57.1,528
11:45:57.1,1.1
11:45:57.1,529
11:45:57.1,1.69
11:45:57.1,529
11:45:57.1,1.51
11:45:57.1,529
11:45:57.1,1.71
11:45:57.1,529
11:45:57.1,0.42
11:45:57.1,529
11:45:57.1,0.3
11:45:57.3,529
11:45:57.3,0.77
11:45:57.3,529
11:45:57.4,1.05
11:45:57.4,529
11:45:57.4,2.11
11:45:57.4,529
11:45:57.4,1.33
11:45:57.4,529
11:45:57.4,1.64
11:45:57.4,529
11:45:57.4,1.74
11:45:57.4,529
11:45:57.4,1.5
11:45:57.4,530
11:45:57.4,0.39
11:45:57.4,529
11:45:57.4,0.35
11:45:57.4,530
11:45:57.4,1.11
11:45:57.4,529
11:45:57.4,1.49
11:45:57.4,529
11:45:57.4,2.06
11:45:57.4,529
11:45:57.4,1.94
11:45:57.4,529
11:45:57.4,1.26
11:45:57.4,528
11:45:57.4,0.18
11:45:57.4,528
11:45:57.4,0.25
11:45:57.5,530
11:45:57.5,0.71
11:45:57.5,523
11:45:57.5,1.66
11:45:57.5,528
11:45:57.5,0.76
11:45:57.5,529
11:45:57.5,1.68
11:45:57.5,529
11:45:57.5,0.66
11:45:57.5,529
11:45:57.5,1.37
11:45:57.5,530
11:45:57.5,1.13
11:45:57.5,529
11:45:57.5,0.99
11:45:57.5,529
11:45:57.5,0.51
11:45:57.5,530
11:45:57.5,0.33
11:45:57.5,529
11:45:57.5,0.93
11:45:57.5,531
11:45:57.5,1.84
11:45:57.5,529
11:45:57.5,1.52
11:45:57.5,528
11:45:57.5,1.54
11:45:57.5,529
11:45:57.5,0.95
11:45:57.5,530
11:45:57.5,0.54
11:45:57.5,529
11:45:57.5,0.89
11:45:57.5,530
11:45:57.5,0.63
11:45:57.5,529
11:45:57.5,0.98
11:45:57.5,529
11:45:57.7,2.04
11:45:57.7,530
11:45:57.7,1.28
11:45:57.7,529
11:45:57.7,0.4
11:45:57.7,529
11:45:57.7,0.6
11:45:57.7,529
11:45:57.7,1.19
11:45:57.7,530
11:45:57.7,1.3
11:45:57.7,529
11:45:57.7,2.51
11:45:57.7,529
11:45:57.7,1.92
11:45:57.7,529
11:45:57.7,0.94
11:45:57.7,529
11:45:57.7,0.47
11:45:57.7,529
11:45:57.7,0.97
11:45:57.7,529
11:45:57.9,0.3
11:45:57.9,529
11:45:57.9,0.78
11:45:57.9,529
11:45:57.9,2.01
11:45:57.9,529
11:45:57.9,2.19
11:45:57.9,529
11:45:57.9,2.17
11:45:57.9,529
11:45:57.9,1.57
11:45:57.9,529
11:45:57.9,0.59
11:45:57.9,528
11:45:58.0,0.86
11:45:58.0,529
11:45:58.0,1.07
11:45:58.0,528
11:45:58.0,2.01
11:45:58.0,530
11:45:58.0,1.91
11:45:58.0,523
11:45:58.0,1.25
11:45:58.0,528
11:45:58.0,1.34
11:45:58.0,528
11:45:58.0,1.28
11:45:58.0,529
11:45:58.0,1.2
11:45:58.0,529
11:45:58.0,0.97
11:45:58.0,529
11:45:58.0,0.19
11:45:58.0,529
11:45:58.0,0.38
11:45:58.0,529
11:45:58.0,0.81
11:45:58.0,530
11:45:58.0,1.42
11:45:58.0,531
11:45:58.0,0.36
11:45:58.0,530
11:45:58.0,2.04
11:45:58.0,528
11:45:58.1,1.66
11:45:58.1,530
11:45:58.1,0.19
11:45:58.1,530
11:45:58.1,1.37
11:45:58.1,529
11:45:58.1,1.72
11:45:58.1,529
11:45:58.1,1.5
11:45:58.2,529
11:45:58.2,3.42
11:45:58.2,529
11:45:58.2,0.85
11:45:58.2,530
11:45:58.2,1.15
11:45:58.2,529
11:45:58.2,1.69
11:45:58.2,529
11:45:58.2,0.4
11:45:58.2,530
11:45:58.2,0.75
11:45:58.2,529
11:45:58.2,1.44
11:45:58.2,530
11:45:58.2,1.34
11:45:58.2,529
11:45:58.2,2.13
11:45:58.2,529
11:45:58.2,2.26
11:45:58.2,529
11:45:58.2,2.36
11:45:58.2,529
11:45:58.2,0.75
11:45:58.2,530
11:45:58.2,1.77
11:45:58.2,529
11:45:58.2,0.35
11:45:58.2,529
11:45:58.2,0.32
11:45:58.2,529
11:45:58.2,0.5
11:45:58.2,529
11:45:58.2,1.18
11:45:58.2,529
11:45:58.2,0.7
11:45:58.2,529
11:45:58.2,0.72
11:45:58.2,530
11:45:58.2,0.57
11:45:58.2,528
11:45:58.2,0.9
11:45:58.2,525
11:45:58.4,0.24
11:45:58.4,528
11:45:58.4,1.12
11:45:58.4,529
11:45:58.4,1.42
11:45:58.4,529
11:45:58.4,0.73
11:45:58.4,530
11:45:58.4,2.01
11:45:58.4,530
